key	faction	allowed
ntw3_art_foot_018_005_0039	ntw3_ac_b03_x6_018	true
ntw3_art_foot_018_005_0039_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_018_010_0037	ntw3_ac_b03_x6_018	true
ntw3_art_foot_018_010_0037_com_0242	ntw3_ac_b03_x6_018	true
ntw3_art_foot_018_010_0037_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_018_010_0037_tow_039_com_0242	ntw3_tow_b03_x8_039	true
ntw3_art_foot_018_010_0038	ntw3_ac_b03_x6_018	true
ntw3_art_foot_018_010_0038_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_019_005_0041	ntw3_ac_b03_x6_019	true
ntw3_art_foot_019_005_0041_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_019_006_0042	ntw3_ac_b03_x6_019	true
ntw3_art_foot_019_006_0042_com_0246	ntw3_ac_b03_x6_019	true
ntw3_art_foot_019_006_0042_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_019_006_0042_tow_042_com_0246	ntw3_tow_b03_x8_042	true
ntw3_art_foot_019_006_0043	ntw3_ac_b03_x6_019	true
ntw3_art_foot_019_006_0043_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_019_010_0040	ntw3_ac_b03_x6_019	true
ntw3_art_foot_019_010_0040_com_0245	ntw3_ac_b03_x6_019	true
ntw3_art_foot_019_010_0040_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_019_010_0040_tow_042_com_0245	ntw3_tow_b03_x8_042	true
ntw3_art_foot_019_999_0044	ntw3_ac_b03_x6_019	true
ntw3_art_foot_019_999_0044_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_020_003_0046	ntw3_ac_b03_x6_020	true
ntw3_art_foot_020_003_0046_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_020_005_0047	ntw3_ac_b03_x6_020	true
ntw3_art_foot_020_005_0047_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_020_010_0045	ntw3_ac_b03_x6_020	true
ntw3_art_foot_020_010_0045_com_0247	ntw3_ac_b03_x6_020	true
ntw3_art_foot_020_010_0045_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_020_010_0045_tow_042_com_0247	ntw3_tow_b03_x8_042	true
ntw3_art_foot_021_003_0048	ntw3_ac_b03_x6_021	true
ntw3_art_foot_021_003_0048_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_021_005_0049	ntw3_ac_b03_x6_021	true
ntw3_art_foot_021_005_0049_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_021_999_0050	ntw3_ac_b03_x6_021	true
ntw3_art_foot_021_999_0050_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_022_006_15681	ntw3_ac_b03_x6_022	true
ntw3_art_foot_022_006_15681_com_0253	ntw3_ac_b03_x6_022	true
ntw3_art_foot_022_006_15681_tow_041	ntw3_tow_b03_x8_041	true
ntw3_art_foot_022_006_15681_tow_041_com_0253	ntw3_tow_b03_x8_041	true
ntw3_art_foot_023_006_0052	ntw3_ac_b03_x7_023	true
ntw3_art_foot_023_006_0052_com_0252	ntw3_ac_b03_x7_023	true
ntw3_art_foot_023_006_0052_tow_043	ntw3_tow_b03_x8_043	true
ntw3_art_foot_023_006_0052_tow_043_com_0252	ntw3_tow_b03_x8_043	true
ntw3_art_foot_023_006_0053	ntw3_ac_b03_x7_023	true
ntw3_art_foot_023_006_0053_tow_043	ntw3_tow_b03_x8_043	true
ntw3_art_foot_023_012_0051	ntw3_ac_b03_x7_023	true
ntw3_art_foot_023_012_0051_com_0282	ntw3_ac_b03_x7_023	true
ntw3_art_foot_023_012_0051_tow_043	ntw3_tow_b03_x8_043	true
ntw3_art_foot_023_012_0051_tow_043_com_0282	ntw3_tow_b03_x8_043	true
ntw3_art_foot_024_006_0055	ntw3_ac_b03_x6_024	true
ntw3_art_foot_024_006_0055_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_024_010_0056	ntw3_ac_b03_x6_024	true
ntw3_art_foot_024_010_0056_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_024_012_0054	ntw3_ac_b03_x6_024	true
ntw3_art_foot_024_012_0054_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_025_006_0058	ntw3_ac_b03_x6_025	true
ntw3_art_foot_025_006_0058_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_025_010_0059	ntw3_ac_b03_x6_025	true
ntw3_art_foot_025_010_0059_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_025_012_0057	ntw3_ac_b03_x6_025	true
ntw3_art_foot_025_012_0057_com_0280	ntw3_ac_b03_x6_025	true
ntw3_art_foot_025_012_0057_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_025_012_0057_tow_042_com_0280	ntw3_tow_b03_x8_042	true
ntw3_art_foot_025_020_0060	ntw3_ac_b03_x6_025	true
ntw3_art_foot_025_020_0060_tow_042	ntw3_tow_b03_x8_042	true
ntw3_art_foot_026_006_0061	ntw3_ac_b05_x7_026	true
ntw3_art_foot_026_006_0061_tow_006	ntw3_tow_b05_x8_006	true
ntw3_art_foot_026_010_0062	ntw3_ac_b05_x7_026	true
ntw3_art_foot_026_010_0062_tow_006	ntw3_tow_b05_x8_006	true
ntw3_art_foot_027_006_0065	ntw3_ac_b05_x6_027	true
ntw3_art_foot_027_006_0065_com_0011	ntw3_ac_b05_x6_027	true
ntw3_art_foot_027_006_0065_tow_006	ntw3_tow_b05_x8_006	true
ntw3_art_foot_027_006_0065_tow_006_com_0011	ntw3_tow_b05_x8_006	true
ntw3_art_foot_027_012_0063	ntw3_ac_b05_x6_027	true
ntw3_art_foot_027_012_0063_com_0010	ntw3_ac_b05_x6_027	true
ntw3_art_foot_027_012_0063_tow_006	ntw3_tow_b05_x8_006	true
ntw3_art_foot_027_012_0063_tow_006_com_0010	ntw3_tow_b05_x8_006	true
ntw3_art_foot_028_012_0066	ntw3_ac_b05_x7_028	true
ntw3_art_foot_028_012_0066_tow_006	ntw3_tow_b05_x8_006	true
ntw3_art_foot_029_003_0068	ntw3_ac_b05_x7_029	true
ntw3_art_foot_029_003_0068_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_029_005_0069	ntw3_ac_b05_x7_029	true
ntw3_art_foot_029_005_0069_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_029_010_0067	ntw3_ac_b05_x7_029	true
ntw3_art_foot_029_010_0067_com_0012	ntw3_ac_b05_x7_029	true
ntw3_art_foot_029_010_0067_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_029_010_0067_tow_007_com_0012	ntw3_tow_b05_x8_007	true
ntw3_art_foot_030_005_0071	ntw3_ac_b05_x7_030	true
ntw3_art_foot_030_005_0071_com_0014	ntw3_ac_b05_x7_030	true
ntw3_art_foot_030_005_0071_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_030_005_0071_tow_007_com_0014	ntw3_tow_b05_x8_007	true
ntw3_art_foot_030_010_0070	ntw3_ac_b05_x7_030	true
ntw3_art_foot_030_010_0070_com_0013	ntw3_ac_b05_x7_030	true
ntw3_art_foot_030_010_0070_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_030_010_0070_tow_007_com_0013	ntw3_tow_b05_x8_007	true
ntw3_art_foot_031_003_0072	ntw3_ac_b05_x7_031	true
ntw3_art_foot_031_003_0072_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_031_005_0073	ntw3_ac_b05_x7_031	true
ntw3_art_foot_031_005_0073_com_0015	ntw3_ac_b05_x7_031	true
ntw3_art_foot_031_005_0073_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_031_005_0073_tow_007_com_0015	ntw3_tow_b05_x8_007	true
ntw3_art_foot_031_999_0074	ntw3_ac_b05_x7_031	true
ntw3_art_foot_031_999_0074_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_032_006_0076	ntw3_ac_b05_x7_032	true
ntw3_art_foot_032_006_0077	ntw3_ac_b05_x7_032	true
ntw3_art_foot_032_006_0077_com_0016	ntw3_ac_b05_x7_032	true
ntw3_art_foot_032_006_0078	ntw3_ac_b05_x7_032	true
ntw3_art_foot_032_012_0075	ntw3_ac_b05_x7_032	true
ntw3_art_foot_033_003_0080	ntw3_ac_b05_x7_033	true
ntw3_art_foot_033_003_0080_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_033_005_0081	ntw3_ac_b05_x7_033	true
ntw3_art_foot_033_005_0081_com_0017	ntw3_ac_b05_x7_033	true
ntw3_art_foot_033_005_0081_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_033_005_0081_tow_007_com_0017	ntw3_tow_b05_x8_007	true
ntw3_art_foot_033_010_0079	ntw3_ac_b05_x7_033	true
ntw3_art_foot_033_010_0079_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_033_999_0082	ntw3_ac_b05_x7_033	true
ntw3_art_foot_033_999_0082_tow_007	ntw3_tow_b05_x8_007	true
ntw3_art_foot_034_006_0086	ntw3_ac_b06_x7_034	true
ntw3_art_foot_034_006_0086_com_0018	ntw3_ac_b06_x7_034	true
ntw3_art_foot_034_006_0086_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_034_006_0086_tow_009_com_0018	ntw3_tow_b06_x8_009	true
ntw3_art_foot_034_006_0087	ntw3_ac_b06_x7_034	true
ntw3_art_foot_034_006_0087_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_034_012_0083	ntw3_ac_b06_x7_034	true
ntw3_art_foot_034_012_0083_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_034_012_0084	ntw3_ac_b06_x7_034	true
ntw3_art_foot_034_012_0084_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_034_012_0085	ntw3_ac_b06_x7_034	true
ntw3_art_foot_034_012_0085_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_006_0090	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_006_0090_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_008_0091	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_008_0091_com_0020	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_008_0091_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_008_0091_tow_009_com_0020	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_012_0088	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_012_0088_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_012_0089	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_012_0089_com_0019	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_012_0089_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_012_0089_tow_009_com_0019	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_999_0092	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_999_0092_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_999_0106	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_999_0106_com_0027	ntw3_ac_b06_x7_035	true
ntw3_art_foot_035_999_0106_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_035_999_0106_tow_009_com_0027	ntw3_tow_b06_x8_009	true
ntw3_art_foot_036_006_0094	ntw3_ac_b06_x7_036	true
ntw3_art_foot_036_006_0094_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_036_006_0095	ntw3_ac_b06_x7_036	true
ntw3_art_foot_036_006_0095_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_036_012_0093	ntw3_ac_b06_x7_036	true
ntw3_art_foot_036_012_0093_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_036_999_0096	ntw3_ac_b06_x7_036	true
ntw3_art_foot_036_999_0096_com_0021	ntw3_ac_b06_x7_036	true
ntw3_art_foot_036_999_0096_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_036_999_0096_tow_009_com_0021	ntw3_tow_b06_x8_009	true
ntw3_art_foot_037_006_0098	ntw3_ac_b06_x7_037	true
ntw3_art_foot_037_006_0098_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_037_012_0097	ntw3_ac_b06_x7_037	true
ntw3_art_foot_037_012_0097_com_0022	ntw3_ac_b06_x7_037	true
ntw3_art_foot_037_012_0097_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_037_012_0097_tow_009_com_0022	ntw3_tow_b06_x8_009	true
ntw3_art_foot_038_012_0099	ntw3_ac_b06_x7_038	true
ntw3_art_foot_038_012_0099_com_0023	ntw3_ac_b06_x7_038	true
ntw3_art_foot_038_012_0099_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_038_012_0099_tow_009_com_0023	ntw3_tow_b06_x8_009	true
ntw3_art_foot_038_012_0100	ntw3_ac_b06_x7_038	true
ntw3_art_foot_038_012_0100_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_039_004_0102	ntw3_ac_b06_x7_039	true
ntw3_art_foot_039_004_0102_com_0025	ntw3_ac_b06_x7_039	true
ntw3_art_foot_039_004_0102_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_039_004_0102_tow_009_com_0025	ntw3_tow_b06_x8_009	true
ntw3_art_foot_039_008_0104	ntw3_ac_b06_x7_039	true
ntw3_art_foot_039_008_0104_com_0026	ntw3_ac_b06_x7_039	true
ntw3_art_foot_039_008_0104_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_039_008_0104_tow_009_com_0026	ntw3_tow_b06_x8_009	true
ntw3_art_foot_039_012_0101	ntw3_ac_b06_x7_039	true
ntw3_art_foot_039_012_0101_com_0024	ntw3_ac_b06_x7_039	true
ntw3_art_foot_039_012_0101_tow_009	ntw3_tow_b06_x8_009	true
ntw3_art_foot_039_012_0101_tow_009_com_0024	ntw3_tow_b06_x8_009	true
ntw3_art_foot_040_006_0108	ntw3_ac_b06_x6_040	true
ntw3_art_foot_040_006_0108_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_040_010_0109	ntw3_ac_b06_x6_040	true
ntw3_art_foot_040_010_0109_com_0029	ntw3_ac_b06_x6_040	true
ntw3_art_foot_040_010_0109_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_040_010_0109_tow_008_com_0029	ntw3_tow_b06_x8_008	true
ntw3_art_foot_040_010_0110	ntw3_ac_b06_x6_040	true
ntw3_art_foot_040_010_0110_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_040_012_0107	ntw3_ac_b06_x6_040	true
ntw3_art_foot_040_012_0107_com_0028	ntw3_ac_b06_x6_040	true
ntw3_art_foot_040_012_0107_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_040_012_0107_tow_008_com_0028	ntw3_tow_b06_x8_008	true
ntw3_art_foot_041_006_0112	ntw3_ac_b06_x7_041	true
ntw3_art_foot_041_006_0112_com_0031	ntw3_ac_b06_x7_041	true
ntw3_art_foot_041_006_0112_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_041_006_0112_tow_008_com_0031	ntw3_tow_b06_x8_008	true
ntw3_art_foot_041_010_0113	ntw3_ac_b06_x7_041	true
ntw3_art_foot_041_010_0113_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_041_012_0111	ntw3_ac_b06_x7_041	true
ntw3_art_foot_041_012_0111_com_0030	ntw3_ac_b06_x7_041	true
ntw3_art_foot_041_012_0111_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_041_012_0111_tow_008_com_0030	ntw3_tow_b06_x8_008	true
ntw3_art_foot_042_012_0114	ntw3_ac_b06_x6_042	true
ntw3_art_foot_042_012_0114_com_0032	ntw3_ac_b06_x6_042	true
ntw3_art_foot_042_012_0114_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_042_012_0114_tow_008_com_0032	ntw3_tow_b06_x8_008	true
ntw3_art_foot_042_020_0115	ntw3_ac_b06_x6_042	true
ntw3_art_foot_042_020_0115_com_0033	ntw3_ac_b06_x6_042	true
ntw3_art_foot_042_020_0115_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_042_020_0115_tow_008_com_0033	ntw3_tow_b06_x8_008	true
ntw3_art_foot_043_012_0116	ntw3_ac_b06_x7_043	true
ntw3_art_foot_043_012_0116_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_044_006_0118	ntw3_ac_b06_x7_044	true
ntw3_art_foot_044_012_0117	ntw3_ac_b06_x7_044	true
ntw3_art_foot_044_012_0117_com_0034	ntw3_ac_b06_x7_044	true
ntw3_art_foot_044_999_0119	ntw3_ac_b06_x7_044	true
ntw3_art_foot_045_012_15656	ntw3_ac_b06_x7_045	true
ntw3_art_foot_045_012_15656_com_0235	ntw3_ac_b06_x7_045	true
ntw3_art_foot_045_012_15656_tow_008	ntw3_tow_b06_x8_008	true
ntw3_art_foot_045_012_15656_tow_008_com_0235	ntw3_tow_b06_x8_008	true
ntw3_art_foot_046_003_0121	ntw3_ac_b08_x6_046	true
ntw3_art_foot_046_003_0121_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_046_005_0122	ntw3_ac_b08_x6_046	true
ntw3_art_foot_046_005_0122_com_0035	ntw3_ac_b08_x6_046	true
ntw3_art_foot_046_005_0122_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_046_005_0122_tow_044_com_0035	ntw3_tow_b08_x8_044	true
ntw3_art_foot_046_010_0120	ntw3_ac_b08_x6_046	true
ntw3_art_foot_046_010_0120_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_046_999_0123	ntw3_ac_b08_x6_046	true
ntw3_art_foot_046_999_0123_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_047_003_0125	ntw3_ac_b08_x6_047	true
ntw3_art_foot_047_003_0125_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_047_005_0126	ntw3_ac_b08_x6_047	true
ntw3_art_foot_047_005_0126_com_0036	ntw3_ac_b08_x6_047	true
ntw3_art_foot_047_005_0126_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_047_005_0126_tow_044_com_0036	ntw3_tow_b08_x8_044	true
ntw3_art_foot_047_010_0124	ntw3_ac_b08_x6_047	true
ntw3_art_foot_047_010_0124_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_047_999_0127	ntw3_ac_b08_x6_047	true
ntw3_art_foot_047_999_0127_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_048_003_0129	ntw3_ac_b08_x6_048	true
ntw3_art_foot_048_003_0129_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_048_005_0130	ntw3_ac_b08_x6_048	true
ntw3_art_foot_048_005_0130_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_048_010_0128	ntw3_ac_b08_x6_048	true
ntw3_art_foot_048_010_0128_com_0037	ntw3_ac_b08_x6_048	true
ntw3_art_foot_048_010_0128_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_048_010_0128_tow_044_com_0037	ntw3_tow_b08_x8_044	true
ntw3_art_foot_048_999_0131	ntw3_ac_b08_x6_048	true
ntw3_art_foot_048_999_0131_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_049_003_0133	ntw3_ac_b08_x6_049	true
ntw3_art_foot_049_003_0133_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_049_005_0134	ntw3_ac_b08_x6_049	true
ntw3_art_foot_049_005_0134_com_0038	ntw3_ac_b08_x6_049	true
ntw3_art_foot_049_005_0134_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_049_005_0134_tow_044_com_0038	ntw3_tow_b08_x8_044	true
ntw3_art_foot_049_010_0132	ntw3_ac_b08_x6_049	true
ntw3_art_foot_049_010_0132_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_049_999_0135	ntw3_ac_b08_x6_049	true
ntw3_art_foot_049_999_0135_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_050_003_0137	ntw3_ac_b08_x6_050	true
ntw3_art_foot_050_003_0137_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_050_005_0138	ntw3_ac_b08_x6_050	true
ntw3_art_foot_050_005_0138_com_0039	ntw3_ac_b08_x6_050	true
ntw3_art_foot_050_005_0138_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_050_005_0138_tow_044_com_0039	ntw3_tow_b08_x8_044	true
ntw3_art_foot_050_010_0136	ntw3_ac_b08_x6_050	true
ntw3_art_foot_050_010_0136_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_051_003_0140	ntw3_ac_b08_x5_051	true
ntw3_art_foot_051_003_0140_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_051_005_0141	ntw3_ac_b08_x5_051	true
ntw3_art_foot_051_005_0141_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_051_010_0139	ntw3_ac_b08_x5_051	true
ntw3_art_foot_051_010_0139_com_0040	ntw3_ac_b08_x5_051	true
ntw3_art_foot_051_010_0139_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_051_010_0139_tow_044_com_0040	ntw3_tow_b08_x8_044	true
ntw3_art_foot_051_999_0142	ntw3_ac_b08_x5_051	true
ntw3_art_foot_051_999_0142_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_052_003_0144	ntw3_ac_b08_x6_052	true
ntw3_art_foot_052_005_0145	ntw3_ac_b08_x6_052	true
ntw3_art_foot_052_010_0143	ntw3_ac_b08_x6_052	true
ntw3_art_foot_052_010_0143_com_0041	ntw3_ac_b08_x6_052	true
ntw3_art_foot_052_999_0146	ntw3_ac_b08_x6_052	true
ntw3_art_foot_053_005_0147	ntw3_ac_b08_x6_053	true
ntw3_art_foot_053_005_0147_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_053_999_0148	ntw3_ac_b08_x6_053	true
ntw3_art_foot_053_999_0148_tow_044	ntw3_tow_b08_x8_044	true
ntw3_art_foot_054_003_15653	ntw3_ac_b08_x6_054	true
ntw3_art_foot_055_006_0150	ntw3_ac_b08_x7_055	true
ntw3_art_foot_055_006_0150_com_0229	ntw3_ac_b08_x7_055	true
ntw3_art_foot_055_006_0150_tow_045	ntw3_tow_b08_x8_045	true
ntw3_art_foot_055_006_0150_tow_045_com_0229	ntw3_tow_b08_x8_045	true
ntw3_art_foot_055_009_0151	ntw3_ac_b08_x7_055	true
ntw3_art_foot_055_009_0151_tow_045	ntw3_tow_b08_x8_045	true
ntw3_art_foot_055_024_15673	ntw3_ac_b08_x7_055	true
ntw3_art_foot_055_024_15673_com_0248	ntw3_ac_b08_x7_055	true
ntw3_art_foot_055_024_15673_tow_045	ntw3_tow_b08_x8_045	true
ntw3_art_foot_055_024_15673_tow_045_com_0248	ntw3_tow_b08_x8_045	true
ntw3_art_foot_055_999_0152	ntw3_ac_b08_x7_055	true
ntw3_art_foot_055_999_0152_com_0230	ntw3_ac_b08_x7_055	true
ntw3_art_foot_055_999_0152_tow_045	ntw3_tow_b08_x8_045	true
ntw3_art_foot_055_999_0152_tow_045_com_0230	ntw3_tow_b08_x8_045	true
ntw3_art_foot_056_006_0153	ntw3_ac_b08_x7_056	true
ntw3_art_foot_056_006_0153_com_0231	ntw3_ac_b08_x7_056	true
ntw3_art_foot_056_006_0153_tow_045	ntw3_tow_b08_x8_045	true
ntw3_art_foot_056_006_0153_tow_045_com_0231	ntw3_tow_b08_x8_045	true
ntw3_art_foot_056_024_15672	ntw3_ac_b08_x7_056	true
ntw3_art_foot_056_024_15672_com_0249	ntw3_ac_b08_x7_056	true
ntw3_art_foot_056_024_15672_tow_045	ntw3_tow_b08_x8_045	true
ntw3_art_foot_056_024_15672_tow_045_com_0249	ntw3_tow_b08_x8_045	true
ntw3_art_foot_056_999_0154	ntw3_ac_b08_x7_056	true
ntw3_art_foot_056_999_0154_com_0232	ntw3_ac_b08_x7_056	true
