unit_key,faction_key,army_corps_name,unit_name,is_tow_variant,encoded_staff_rank,command_stars,command_star_icon_path,command_star_strip_path,command_star_layout,base_mp_cost,unit_cap,recommended_placement,placement_basis,permission_table,permission_source_line,land_unit_table,land_unit_source_lines,rating_table,rating_source_lines,localisation_source,original_pack,original_internal_icon_path,original_extracted_path,copied_icon_path,original_sha256,existing_asset_sha256,matches_existing_asset,copy_status
ntw3_gen_staff_005_2_0229,denmark,7. Danmark,Frederik af Hessen-Kassel,false,2,2,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_2.png,vertical_left,228,1,denmark corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,8862,db/units_tables/ntw3_land_units,11054,db/mp_general_command_ratings_tables/mp_general_command_ratings,3042,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/denmarkc_gen_staff_005_2_0229_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/denmarkc_gen_staff_005_2_0229_icon.tga,assets/staff_general_icons_by_corps/denmark/denmarkc_gen_staff_005_2_0229_icon.tga,23edcd235815920f9a3b7e7699210efd519d9a26d779125bfc08ec56c77465d9,23edcd235815920f9a3b7e7699210efd519d9a26d779125bfc08ec56c77465d9,true,copied_from_original_cards94
ntw3_gen_staff_005_3_0230,denmark,7. Danmark,Johann von Ewald,false,3,3,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_3.png,vertical_left,401,1,denmark corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,8863,db/units_tables/ntw3_land_units,11055,db/mp_general_command_ratings_tables/mp_general_command_ratings,3043,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/denmarkc_gen_staff_005_3_0230_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/denmarkc_gen_staff_005_3_0230_icon.tga,assets/staff_general_icons_by_corps/denmark/denmarkc_gen_staff_005_3_0230_icon.tga,47200d905f2f9804b90f2bde33d5e3920f602c848f5328dce0ad3231ea90df44,47200d905f2f9804b90f2bde33d5e3920f602c848f5328dce0ad3231ea90df44,true,copied_from_original_cards94
ntw3_gen_staff_203_6_0238,france,9. France (1796),André Masséna 'l'Enfant chéri de la Victoire',false,6,6,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_6.png,vertical_left,823,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9307,db/units_tables/ntw3_land_units,11576,db/mp_general_command_ratings_tables/mp_general_command_ratings,3502,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/francec_gen_staff_203_6_0238_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/francec_gen_staff_203_6_0238_icon.tga,assets/staff_general_icons_by_corps/france/francec_gen_staff_203_6_0238_icon.tga,6092f9ce86c9659dde5836da399e3993136a68c89630ef7e60a6f9caacfb2d88,6092f9ce86c9659dde5836da399e3993136a68c89630ef7e60a6f9caacfb2d88,true,copied_from_original_cards94
ntw3_gen_staff_203_0_0239,france,9. France (1796),Charles Jennings de Kilmaine,false,0,,,,,1,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9301,db/units_tables/ntw3_land_units,11570,db/mp_general_command_ratings_tables/mp_general_command_ratings,,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/french_rev_gen_staff_203_0_0239_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/french_rev_gen_staff_203_0_0239_icon.tga,assets/staff_general_icons_by_corps/france/french_rev_gen_staff_203_0_0239_icon.tga,b88b81727d010678620c4595f801b34bef4a167dbd7e8d8266523e31dcfb6f01,b88b81727d010678620c4595f801b34bef4a167dbd7e8d8266523e31dcfb6f01,true,copied_from_original_cards94
ntw3_gen_staff_203_5_0241,france,9. France (1796),Claude-Victor Perrin 'Belle-Lune',false,5,5,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_5.png,vertical_left,638,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9306,db/units_tables/ntw3_land_units,11575,db/mp_general_command_ratings_tables/mp_general_command_ratings,3501,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/francec_gen_staff_203_5_0241_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/francec_gen_staff_203_5_0241_icon.tga,assets/staff_general_icons_by_corps/france/francec_gen_staff_203_5_0241_icon.tga,53b246c0b178c31358847c320cce42e650fc7f3d9f4b43ecb1d2f7ed62f60571,53b246c0b178c31358847c320cce42e650fc7f3d9f4b43ecb1d2f7ed62f60571,true,copied_from_original_cards94
ntw3_gen_staff_203_2_0242,france,9. France (1796),Guillaume Brune,false,2,2,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_2.png,vertical_left,177,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9303,db/units_tables/ntw3_land_units,11572,db/mp_general_command_ratings_tables/mp_general_command_ratings,3498,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/french_rev_gen_staff_203_2_0242_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/french_rev_gen_staff_203_2_0242_icon.tga,assets/staff_general_icons_by_corps/france/french_rev_gen_staff_203_2_0242_icon.tga,51aa45e84f761f0e45e7ba30e3bd9ca68d23b4771388962221940d5bd8fef525,51aa45e84f761f0e45e7ba30e3bd9ca68d23b4771388962221940d5bd8fef525,true,copied_from_original_cards94
ntw3_gen_staff_203_4_0247,france,9. France (1796),Jean Lannes 'le Brave des Braves',false,4,4,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_4.png,vertical_left,467,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9305,db/units_tables/ntw3_land_units,11574,db/mp_general_command_ratings_tables/mp_general_command_ratings,3500,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/french_rep_ita_gen_staff_203_4_0247_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/french_rep_ita_gen_staff_203_4_0247_icon.tga,assets/staff_general_icons_by_corps/france/french_rep_ita_gen_staff_203_4_0247_icon.tga,86269c76c694b7d1a11838d9dcb59b4d6d58d53a603278837e15800227a92cb7,86269c76c694b7d1a11838d9dcb59b4d6d58d53a603278837e15800227a92cb7,true,copied_from_original_cards94
ntw3_gen_staff_203_1_0243,france,9. France (1796),Jean-Baptiste Jourdan,false,1,1,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_1.png,vertical_left,67,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9302,db/units_tables/ntw3_land_units,11571,db/mp_general_command_ratings_tables/mp_general_command_ratings,3497,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/france_gen_staff_203_1_0243_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/france_gen_staff_203_1_0243_icon.tga,assets/staff_general_icons_by_corps/france/france_gen_staff_203_1_0243_icon.tga,e685ae7807ecb12fe4e3369218593620a6d75151414a28c81f6b0df9d1115091,e685ae7807ecb12fe4e3369218593620a6d75151414a28c81f6b0df9d1115091,true,copied_from_original_cards94
ntw3_gen_staff_203_3_0248,france,9. France (1796),Louis Desaix 'le Sultan juste',false,3,3,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_3.png,vertical_left,312,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9304,db/units_tables/ntw3_land_units,11573,db/mp_general_command_ratings_tables/mp_general_command_ratings,3499,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/france_gen_staff_203_3_0248_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/france_gen_staff_203_3_0248_icon.tga,assets/staff_general_icons_by_corps/france/france_gen_staff_203_3_0248_icon.tga,6bcfedfc27fdce9a5116ea6d6d62c9aba529e79460012ea722c245d8a3d46c49,6bcfedfc27fdce9a5116ea6d6d62c9aba529e79460012ea722c245d8a3d46c49,true,copied_from_original_cards94
ntw3_gen_staff_203_9_0249,france,9. France (1796),Napoléon Bonaparte,false,9,9,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_9.png,vertical_left,1453,1,france corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9308,db/units_tables/ntw3_land_units,11577,db/mp_general_command_ratings_tables/mp_general_command_ratings,3503,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/french_rev_gen_staff_203_9_0249_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/french_rev_gen_staff_203_9_0249_icon.tga,assets/staff_general_icons_by_corps/france/french_rev_gen_staff_203_9_0249_icon.tga,2154c77ff1d8439da34fcee43de21888168cf9ac4eef12749ea8d4e8852e2705,2154c77ff1d8439da34fcee43de21888168cf9ac4eef12749ea8d4e8852e2705,true,copied_from_original_cards94
ntw3_gen_staff_080_7_0554,ntw3_ac_a03_x5_080,12. Bonaparte / Italie.C,Jean Lannes 'le Brave des Braves',false,7,7,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_7.png,vertical_left,775,1,ntw3_ac_a03_x5_080 corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9023,db/units_tables/ntw3_land_units,11232,db/mp_general_command_ratings_tables/mp_general_command_ratings,3179,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/france_1799_1807_gen_staff_080_7_0554_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/france_1799_1807_gen_staff_080_7_0554_icon.tga,assets/staff_general_icons_by_corps/ntw3_ac_a03_x5_080/france_1799_1807_gen_staff_080_7_0554_icon.tga,86269c76c694b7d1a11838d9dcb59b4d6d58d53a603278837e15800227a92cb7,86269c76c694b7d1a11838d9dcb59b4d6d58d53a603278837e15800227a92cb7,true,copied_from_original_cards94
ntw3_gen_staff_080_9_0114,ntw3_ac_a03_x5_080,12. Bonaparte / Italie.C,Napoléon Bonaparte,false,9,9,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_9.png,vertical_left,1101,1,ntw3_ac_a03_x5_080 corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9025,db/units_tables/ntw3_land_units,11234,db/mp_general_command_ratings_tables/mp_general_command_ratings,3181,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/french_rev_gen_staff_080_9_0114_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/french_rev_gen_staff_080_9_0114_icon.tga,assets/staff_general_icons_by_corps/ntw3_ac_a03_x5_080/french_rev_gen_staff_080_9_0114_icon.tga,2154c77ff1d8439da34fcee43de21888168cf9ac4eef12749ea8d4e8852e2705,2154c77ff1d8439da34fcee43de21888168cf9ac4eef12749ea8d4e8852e2705,true,copied_from_original_cards94
ntw3_gen_staff_081_6_0115,ntw3_ac_a03_x5_081,6. Desaix / Italie.R,Louis Desaix 'le Sultan juste',false,6,6,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_6.png,vertical_left,1157,1,ntw3_ac_a03_x5_081 corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9027,db/units_tables/ntw3_land_units,11236,db/mp_general_command_ratings_tables/mp_general_command_ratings,3183,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/france_gen_staff_081_6_0115_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/france_gen_staff_081_6_0115_icon.tga,assets/staff_general_icons_by_corps/ntw3_ac_a03_x5_081/france_gen_staff_081_6_0115_icon.tga,6bcfedfc27fdce9a5116ea6d6d62c9aba529e79460012ea722c245d8a3d46c49,6bcfedfc27fdce9a5116ea6d6d62c9aba529e79460012ea722c245d8a3d46c49,true,copied_from_original_cards94
ntw3_gen_staff_082_6_0116,ntw3_ac_a03_x5_082,7. Masséna / Italie.D,André Masséna 'l'Enfant chéri de la Victoire',false,6,6,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_6.png,vertical_left,1077,1,ntw3_ac_a03_x5_082 corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9029,db/units_tables/ntw3_land_units,11238,db/mp_general_command_ratings_tables/mp_general_command_ratings,3185,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/francec_gen_staff_082_6_0116_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/francec_gen_staff_082_6_0116_icon.tga,assets/staff_general_icons_by_corps/ntw3_ac_a03_x5_082/francec_gen_staff_082_6_0116_icon.tga,6092f9ce86c9659dde5836da399e3993136a68c89630ef7e60a6f9caacfb2d88,6092f9ce86c9659dde5836da399e3993136a68c89630ef7e60a6f9caacfb2d88,true,copied_from_original_cards94
ntw3_gen_staff_083_3_0117,ntw3_ac_a03_x5_083,6. Suchet / Italie.G,Louis-Gabriel Suchet,false,3,3,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_3.png,vertical_left,456,1,ntw3_ac_a03_x5_083 corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9031,db/units_tables/ntw3_land_units,11240,db/mp_general_command_ratings_tables/mp_general_command_ratings,3187,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/french_rev_gen_staff_083_3_0117_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/french_rev_gen_staff_083_3_0117_icon.tga,assets/staff_general_icons_by_corps/ntw3_ac_a03_x5_083/french_rev_gen_staff_083_3_0117_icon.tga,9fdcddfdec4ece4d0fda787cd71c1d37356d8aed27361df9c513da66497df5ec,9fdcddfdec4ece4d0fda787cd71c1d37356d8aed27361df9c513da66497df5ec,true,copied_from_original_cards94
ntw3_gen_staff_088_1_0552,ntw3_ac_a03_x5_088,5. Humbert / Irlande,James Napper Tandy,false,1,1,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_1.png,vertical_left,117,1,ntw3_ac_a03_x5_088 corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9041,db/units_tables/ntw3_land_units,11250,db/mp_general_command_ratings_tables/mp_general_command_ratings,3197,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/spain_spa_reb_gen_staff_088_1_0552_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/spain_spa_reb_gen_staff_088_1_0552_icon.tga,assets/staff_general_icons_by_corps/ntw3_ac_a03_x5_088/spain_spa_reb_gen_staff_088_1_0552_icon.tga,632400c9415a6e454644a09319f8f15e9e5381f127c7aef81188fb7faa228d23,632400c9415a6e454644a09319f8f15e9e5381f127c7aef81188fb7faa228d23,true,copied_from_original_cards94
ntw3_gen_staff_088_3_0122,ntw3_ac_a03_x5_088,5. Humbert / Irlande,Jean-Joseph Humbert,false,3,3,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_3.png,vertical_left,539,1,ntw3_ac_a03_x5_088 corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9043,db/units_tables/ntw3_land_units,11252,db/mp_general_command_ratings_tables/mp_general_command_ratings,3199,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/france_gen_staff_088_3_0122_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/france_gen_staff_088_3_0122_icon.tga,assets/staff_general_icons_by_corps/ntw3_ac_a03_x5_088/france_gen_staff_088_3_0122_icon.tga,3bc10431107179fdbc4471e92ed9a8d89b0898015fabdb6ff4ae19184d38002b,3bc10431107179fdbc4471e92ed9a8d89b0898015fabdb6ff4ae19184d38002b,true,copied_from_original_cards94
