side,theatre_order,theatre_name,theatre_basis,faction_key,canonical_source_faction_key,corps_order,army_corps_name,display_year,display_rating,theatre_display_order,source_flag_directory,available_source_flag_files,selection_flag_source_file,selection_flag_derivation,selection_flag_donor_source_faction_key,flag_tga_path,flag_png_path,post_selection_flag_source_file,post_selection_flag_tga_path,post_selection_flag_png_path
empire,30,Liberation War (1804-1813),screenshot,ntw3_ac_a15_x5_260,ntw3_ac_a15_r5_260,260,11. Koutouzov / Dunau,,11,1,data/ui/flags/f_15a_ac260,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_artillery.tga|id_flag_cavalry.tga|id_flag_infantry.tga|id_flag_naval.tga|large.dds|large.tga|portrait_flags.tga|small.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_260/flag.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_260/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_260/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_260/post_selection_flag.png
empire,30,Liberation War (1804-1813),screenshot,ntw3_ac_a15_x6_258,ntw3_ac_a15_a6_258,258,8. Goudovitch / Kavkaz,,8,2,data/ui/flags/f_15a_ac258,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_artillery.tga|id_flag_infantry.tga|portrait_flags.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x6_258/flag.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x6_258/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x6_258/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x6_258/post_selection_flag.png
empire,30,Liberation War (1804-1813),screenshot,ntw3_ac_a15_x5_261,ntw3_ac_a15_r5_261,261,7. Kotlyarevski / Valakhiya,,7,3,data/ui/flags/f_15a_ac261,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_artillery.tga|id_flag_cavalry.tga|id_flag_infantry.tga|id_flag_naval.tga|large.dds|small.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_261/flag.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_261/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_261/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x5_261/post_selection_flag.png
empire,30,Liberation War (1804-1813),screenshot,ntw3_ac_a15_x6_259,ntw3_ac_a15_r6_259,259,5. Tsitsyanov / Kaspiy,,5,4,data/ui/flags/f_15a_ac259,hud_left.tga|hud_right.tga|id_flag_artillery.tga|id_flag_cavalry.tga|id_flag_infantry.tga|id_flag_naval.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x6_259/flag.tga,assets/army_corps_by_theatre/empire/0030_liberation_war_1804_1813/ntw3_ac_a15_x6_259/flag.png,,,
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x2_093,ntw3_ac_a05_f2_093,93,13. Soult / IV.C,,13,1,data/ui/flags/f_05a_ac093,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x2_093/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x2_093/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x2_093/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x2_093/post_selection_flag.png
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x4_094,ntw3_ac_a05_f4_094,94,9. Lannes / V.C,,9,2,data/ui/flags/f_05a_ac094,flag_132.tga|hud_left.tga|hud_right.tga|large.dds|large.tga|portrait_flags.tga|small.tga,large.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_094/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_094/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_094/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_094/post_selection_flag.png
empire,40,Germany (1805),screenshot,ntw3_ac_a05_r4_097,ntw3_ac_a05_f4_097,97,9. Murat / RC,,9,3,data/ui/flags/f_05a_ac097,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_r4_097/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_r4_097/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_r4_097/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_r4_097/post_selection_flag.png
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x5_095,ntw3_ac_a05_fg5_095,95,8. Ney / VI.C,,8,4,data/ui/flags/f_05a_ac095,flag_132.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_095/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_095/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_095/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_095/post_selection_flag.png
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x4_096,ntw3_ac_a05_f4_096,96,8. Garde impériale,,8,5,data/ui/flags/f_05a_ac096,hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|portrait_flags.tga|small.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_096/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_096/flag.png,,,
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x5_090,ntw3_ac_a05_fg5_090,90,7. Bernadotte / I.C,,7,6,data/ui/flags/f_05a_ac090,flag_132.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_090/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_090/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_090/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_090/post_selection_flag.png
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x5_091,ntw3_ac_a05_f5_091,91,7. Masséna / Italie,,7,7,data/ui/flags/f_05a_ac091,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_091/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_091/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_091/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_091/post_selection_flag.png
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x4_092,ntw3_ac_a05_f4_092,92,6. Davout / III.C,,6,8,data/ui/flags/f_05a_ac092,flag_132.tga|hud_left.tga|id_flag_infantry.tga|large.dds|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_092/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_092/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_092/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x4_092/post_selection_flag.png
empire,40,Germany (1805),screenshot,ntw3_ac_a05_x5_098,ntw3_ac_a05_f5_098,98,5. Marmont / II.C,,5,9,data/ui/flags/f_05a_ac098,hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|portrait_flags.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_098/flag.tga,assets/army_corps_by_theatre/empire/0040_germany_1805/ntw3_ac_a05_x5_098/flag.png,,,
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_r3_100,ntw3_ac_a06_f3_100,100,12. Murat / RC,,12,1,data/ui/flags/f_06a_ac100,flag_132.tga|hud_left.tga|id_flag_infantry.tga|large.dds|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_r3_100/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_r3_100/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_r3_100/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_r3_100/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x2_101,ntw3_ac_a06_s2_101,101,12. Davout / III.C,,12,2,data/ui/flags/f_06a_ac101,flag_132.tga|large.dds|large.tga|mini_flag.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x2_101/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x2_101/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x2_101/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x2_101/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x3_103,ntw3_ac_a06_f3_103,103,11. Lannes / V.C,,11,3,data/ui/flags/f_06a_ac103,flag_132.tga|hud_left.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_103/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_103/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_103/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_103/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x3_102,ntw3_ac_a06_f3_102,102,10. Soult / IV.C,,10,4,data/ui/flags/f_06a_ac102,flag_132.tga|hud_left.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_102/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_102/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_102/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_102/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x3_106,ntw3_ac_a06_f3_106,106,9. Augereau / VII.C,,9,5,data/ui/flags/f_06a_ac106,flag_132.tga|hud_left.tga|hud_right.tga|large.dds|mini_flag.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_106/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_106/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_106/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_106/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x3_104,ntw3_ac_a06_f3_104,104,8. Ney / VI.C,,8,6,data/ui/flags/f_06a_ac104,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_104/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_104/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_104/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x3_104/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x4_105,ntw3_ac_a06_f4_105,105,7. Garde impériale,,7,7,data/ui/flags/f_06a_ac105,hud_left.tga|hud_right.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_105/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_105/flag.png,,,
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x4_099,ntw3_ac_a06_f4_099,99,6. Bernadotte / I.C,,6,8,data/ui/flags/f_06a_ac099,flag_132.tga|hud_left.tga|id_flag_infantry.tga|large.dds|large.tga|portrait_flags.tga|small.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_099/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_099/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_099/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_099/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x4_246,ntw3_ac_a06_f4_246,246,5. Mortier / VIII.C,,5,9,data/ui/flags/f_06a_ac246,flag_132.tga|hud_right.tga|id_flag_infantry.tga|large.tga|portrait_flags.tga|small.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_246/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_246/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_246/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x4_246/post_selection_flag.png
empire,50,Prussia (1806-1807),screenshot,ntw3_ac_a06_x7_107,ntw3_ac_a06_e7_107,107,4. La Romana / D.N,,4,10,data/ui/flags/f_06a_ac107,flag_132.tga|hud_right.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x7_107/flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x7_107/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x7_107/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0050_prussia_1806_1807/ntw3_ac_a06_x7_107/post_selection_flag.png
